Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Website,Year of Foundation,Date of First Opening of School,Name of Principal/ Head of Institution,Gender,Principal's Educational/Professional Qualifications:,No of Experience (in Years):,Administrative:,Teaching:,Status of The School,Type of affiliation,Affiliation Period,Name of Trust/ Society/ Managing Committee,"Remarks, if any"
GOVT. ADARSH SR. SEC. SCHOOL,1620027,PUNJAB,GURDASPUR,"KOT DHANDAL, DISTT. GURDASPUR, PUNJAB",151505,,2011,03 Jul 2000,MONIKA VIJAN,Female,"M.SC.,B.ED.",,,,Senior Secondary Level,,"From :
                                 01/04/2016 
                                 To :
                                 31/03/2021",DEHU EDUCATION SOCIETY,
GOVT ADARSH SR.SEC. SCHOOL,1620028,PUNJAB,RUPNAGAR,LODHIPUR ANANDPUR SAHIB PUNJAB,140118,,2011,03 Jul 2000,RUCHI GROVER,Female,,,,,Senior Secondary Level,,"From :
                                 01/04/2016 
                                 To :
                                 31/03/2021",PUNJAB EDUCATION DEV. BOARD CHANDIGARH,
SUNSHINE MODERN CANTONMENT BOARD SCHOOL,1620029,PUNJAB,FEROZEPUR,"SETHI ROAD, FEROZPUR CANTT. PUNJAB",152001,,2000,01 Apr 1991,Ashu Sharma,,"M.A , B.Ed",,10,10,Secondary Level,,"From :
                                01/04/2017  
                                 To :
                                31/03/2018",dir. of education,
ADARSH SEN SEC SCHOOL,1620150,PUNJAB,BATHINDA,"VPO CHAUKE TEH MAUR DISTT BATHINDA, VPO CHAUKE TEH MAUR DISTT BATHINDA",151510,http://www.adarshschoolchauke.com/,2012,,BAGHEL SINGH,,"M.A, B.ED",,13,6,Secondary Level,,"From :
                                01/04/2023  
                                 To :
                                31/03/2028",SHRI RADHEY KRISHNA SEWA SAMITI (Regd.),
ADARSH SEN. SEC. SCHOOL,1620151,PUNJAB,MANSA,"BOHA, BUDHLADA",151503,http://adarshschoolboha.com/,2011,,AMANDEEP KAUR SANDHU,,MA BED,,3,12,Secondary Level,,"From :
                                01/04/2023  
                                 To :
                                31/03/2028",SHRI RADHEY KRISHNA SEWA SAMITI,
GURU NANAK PUBLIC SCHOOL,1630001,PUNJAB,LUDHIANA,SARABHA NAGAR LUDHIANA PUNJAB,141001,www.gnpschool.g,1976,04 Apr 1976,GURBHEJ SINGH NAGI,Female,MSc Physics MScIT,,3,24,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",guru nanak public school trust,
KUNDAN VIDYA MANDIR SR SEC SCHOOL,1630002,PUNJAB,LUDHIANA,CIVIL LINES LUDHIANA PUNJAB,141001,,1941,01 Apr 2005,ANAND PRAKASH SHARMA,,M. Phil,,22,35,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",guru nanak public school trust,
SACRED HEART CONVENT SCHOOL,1630003,PUNJAB,LUDHIANA,SARABHA NAGAR LUDHIANA PUNJAB,141001,,1965,23 Jun 2008,SR VEENA DSOUZA,Female,"M.A., B.Ed.",,13,15,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",BETHANY EDUCATIONAL SOCY MANGALORE,
GURU NANAK PUBLIC SCHOOL,1630004,PUNJAB,LUDHIANA,MULLANPUR LUDHIANA DISTT PUNJAB,141101,www.gnpsmullanpur.in,1972,01 Apr 1972,SHAILENDRA KUMAR,Male,"M.Sc., B.Ed",,10,13,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030","GURU NANAK EDUCATION AND SOCIAL WELFARE TRUST, MULLANPUR",
ST. THOMAS SR SECONDARY SCHOOL,1630005,PUNJAB,LUDHIANA,BROWN ROAD LUDHIANA PUNJAB,141008,http://www.xyz.com,1971,,Samuel,Female,"M.Phil,MA,B.Sc",,12,15,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030",ST THOMAS SCH SOCIETY,
TAGORE PUBLIC SCHOOL,1630006,PUNJAB,LUDHIANA,AGGAR NAGAR FEROZEPUR ROAD LUDHIANA PUNJAB,141001,,1975,01 Jun 2006,PRAGATI KAPOOR,Female,"M.A., B.ED",,8,2,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",THE LDH AGG COOP HB SOC LTD,
BCM ARYA MODEL SR. SEC. SCHOOL,1630007,PUNJAB,LUDHIANA,SHASTRI NAGAR LUDHIANA PUNJAB,141002,http://www.bcmeducation.org,1977,01 Apr 1977,ANUJA KAUSHAL,Female,"M.Sc., M.Ed.",,13,26,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030",BAHADUR CHAND MUNJAL ARYA MODEL SCHOOL (ENGLISH MEDIUM),
C F C PUBLIC SCHOOL,1630008,PUNJAB,LUDHIANA,BHAI RANDHIR SINGH NAGAR LUDHIANA PUNJAB,141001,,1973,07 Apr 2008,PRIYA SIMON,Female,"B.Sc, M.A . B.Ed",,10,11,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",CHRISTIAN FELLOWSHIP CENTRE SOCY,
DAYANAND MODEL SR SEC SCHOOL,1630009,PUNJAB,JALANDHAR,DAYANAND NAGAR JALANDHAR PUNJAB,144008,www.dmsdayanandnagar.org,1963,01 Apr 2009,Dr SANTOSH KUMAR GAUTAM,Male,MA English MEd PGCTE PGDTE MPhil PhD,,3,27,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030",ATOMIC ENERGY EDUCATION SOCY,
APEEJAY SCHOOL,1630010,PUNJAB,JALANDHAR,NEW JAWAHAR NAGAR MAHAVIR MARG JALANDHAR CITY PUNJAB,144001,http://www.apeejay.edu,1968,03 Jun 2002,SANGEETA NISTANDRA,Female,"MSC, BED",,15,25,Senior Secondary Level,,"From :
                                 01/04/2022 
                                 To :
                                 31/03/2027",APEEJAY EDUCATIN SOCY PRAGTI BHAWAN,
MONTGOMERY GURU NANAK PUBLIC SCHOOL,1630011,PUNJAB,JALANDHAR,ADARSH NAGAR JALANDHAR CITY PUNJAB,144008,,1974,03 Jul 2000,KANWALJEET SINGH RANDHAWA,Male,M A Economics B Ed,,6,23,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030",M G N EDUCATIONAL TRUST JALANDHAR,
OUR LADY OF FATIMA CONVENT SEC SCH,1630012,PUNJAB,PATIALA,AJIT NAGAR PATIALA PUNJAB,147001,,1960,01 Apr 2013,FLEVY DAVID,,"M.A., B.Ed.",,7,14,Secondary Level,,"From :
                                01/04/2024  
                                 To :
                                31/03/2029",THE INST OF THE ERANCISCAN CLARIST,
D N MODEL SR SEC SCHOOL,1630013,PUNJAB,MOGA,MOGA STREET NO.9 PUNJAB,142001,,1964,09 Jul 2003,SONIA KALSI,Female,"M.Sc. , B.Ed.",,03,23,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",D M COLLEGE MANAGING COMMITTEE,
ST. JOSEPH'S CONVENT SEC SCHOOL,1630014,PUNJAB,BATHINDA,CIVIL LINES BHATINDA PUNJAB,151001,,1961,01 Apr 2002,OPHILIA LOBO,,P.HD,,07,12,Senior Secondary Level,Permanant,Permanent (Subject to final outcome of WPC-8701/19 pending before Honourable High court of Delhi),BETHANY EDUCATIONAL SOCY,Permanent (Subject to final outcome of WPC-8701/19 pending before Honourable High court of Delhi)
GEN GURNAM SINGH PUBLIC SCHOOL,1630015,PUNJAB,SANGRUR,"GENERAL GURNAM SINGH PUBLIC SCHOOL,PATIALA BYPASS SANGRUR",148001,ggspublicschoolsangrur.org,1968,23 Apr 1968,Prabhjot Kaur Grewal,Male,"M.A. M.Phil,B.Ed",,8,29,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030",General Gurnam Singh Public School Trust Sangrur,
L R S D A V SR SEC MODEL SCHOOL,1630016,PUNJAB,FEROZEPUR,ABOHAR DISTT FEROZEPUR PUNJAB,152116,http://www.davabh.com,1972,07 Apr 2005,SMITA SHARMA,Female,MSC PHYSICS  BED,,9,21,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030",DAV COLLEGE MANAGING COMMITTEE DELH,
DASMESH PUBLIC SCHOOL,1630017,PUNJAB,FARIDKOT,FARIDKOT PUNJAB,151203,,1973,04 Apr 2006,APURAV DEVGON,Male,"M.A. ENGLISH , B.ED",,21,8,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",S S B P S EDUCATIONAL SOCY FARIDKOT,
SRI GURU HARKRISHAN PUBLIC SCHOOL,1630018,PUNJAB,AMRITSAR,CHIEF KHALSA DIWAN G T ROAD AMRITSAR PUNJAB,143001,,1967,09 Jul 2003,Mandeep Singh,Female,M.A. B.Ed,,1,38,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",CHIF KHALSA DIWAN,
SHIWALIK PUBLIC SCHOOL,1630019,PUNJAB,RUPNAGAR,NEAR SESSION COURT ROPAR PUNJAB,140001,,1969,01 Apr 2003,BALJIT SINGH ATTRI,,"M.Sc Maths, B.Ed",,12,30,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",CHILD WELFARE COUNCIL DIST ADMIN,
SAINT SOLDIER CONVENT SCHOOL,1630021,PUNJAB,SRI MUKTSAR SAHIB,TIBBI SAHIB MUKTSAR DISTT FARIDKOT PUNJAB,152026,,1970,02 Apr 2001,ALKA DABRA,Male,"M.Sc., Physics,B.Ed.",,3,2,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",S S C S EDN SOCIETY,
SHIVALIK PUBLIC SCHOOL,1630022,PUNJAB,SAS NAGAR,S A S NAGAR PHASE VI MOHALI PUNJAB,160055,,1970,07 Apr 2005,ANUPKIRAN KAUR,Female,Phd M.A M.Ed EDUCATIONAL TECHNOLOGY,,12,12,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030",SHIVALIK EDUCATIONAL SOCIETY,
GIAN JYOTI GLOBAL SCHOOL,1630023,PUNJAB,SAS NAGAR,PHASE II SAS NAGAR  MOHALI PUNJAB,160055,http://www.gjpsmohali.com,1974,,GIAN JYOT,Female,"M.A, B.ED",,5,10,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030",GIAN JYOTI EDUCATIONAL SOCY,
SRI DASMESH ACADEMY,1630024,PUNJAB,RUPNAGAR,ANANDPUR SAHIB ROPAR DISTT PUNJAB,140120,,1980,01 Apr 2005,RAMA KANT PANDEY,Female,MA B.ED.,,32,32,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030",BOARD OF GOVERNORS,
ST. JOSEPH'S CONVENT SEC SCHOOL,1630025,PUNJAB,GURDASPUR,PATHANKOT PUNJAB,145001,,1964,01 Jul 1987,SR FREEDA,Male,"MA, B.ED",,12,17,Secondary Level,,"From :
                                01/04/2024  
                                 To :
                                31/03/2030",INSTITUTE OF FRANCISCAN CLARIST,
BAL MANDIR MODEL SR. SEC. SCHOOL,1630026,PUNJAB,SRI MUKTSAR SAHIB,VILL KILLIANWALI P O MANDI DABWALI PUNJAB,151211,,1963,05 Mar 2007,GOPAL,Male,MA BED,,1,16,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030",PUBLIC EDUCATION SOCY DABWALI,
SETH HUKAM CHAND S D PUBLIC SCHOOL,1630027,PUNJAB,JALANDHAR,NEW PREM NAGAR SODAL ROAD JALANDHAR CITY PUNJAB,144008,http://www.hanifaschool.org,1981,01 Jun 2006,Mamta Bahl,Female,M.A English B.Ed,,8,33,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",D S S D EDUCATION BOARD JALANDHAR,
I C L PUBLIC SCHOOL,1630028,PUNJAB,PATIALA,RAJPURA PUNJAB,140401,,1981,09 Jul 2003,SEEMA RANI,Male,B.com,,10,10,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",LAL CHAND TRUST,
SWAMI RAM TIRTHA PUBLIC HIGH SCHOOL,1630029,PUNJAB,SAS NAGAR,PHASE IV S A S NAGAR MOHALI PUNJAB,160055,www.srtphs.org,1979,01 Apr 2007,RAJNI KAPILA,Male,"M.A. B.Ed., PGDCA",,9,18,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",SWAMI RAM TIRTHA MEMORIAL SCOY,
SRI GURU HARKRISHAN PUBLIC SCHOOL,1630030,PUNJAB,AMRITSAR,JANDIALA ROAD CHIEF KHALSA DIWAN TARN TARAN AMRITSAR DISTT PUNJAB,143401,,1973,25 Nov 1974,RANJIT BHATIA,Female,M.A B.Ed,,11,14,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",CHIEF KHALSA DIWAN TARN TARAN,
GURU HARGOBIND SENIOR SECONDARY PUBLIC SCHOOL,1630031,PUNJAB,LUDHIANA,SIDHWAN KHURD LUDHIANA   DISTT PUNJAB,142024,http://www.davabh.com,1977,01 Apr 2007,PAWAN SOOD,Female,"Ph.D, NET Qualified, M.Phil Eco, M.A. Eco",,7,15,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030",SRI GURU HARGUBIND VIJAGAR HARI TRU,
SUMMER HILL CONVENT SCHOOL,1630032,PUNJAB,BATHINDA,BHATINDA PUNJAB,151001,http://www.hanifaschool.org,1976,01 Jun 2006,JAGDISH KAUR,Female,B.ed,,12,5,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",SUMMER HILL CONVENT SCH EDNL.SOC.,
HENDERSON JUBILEE SCHOOL,1630033,PUNJAB,RUPNAGAR,KHARAR ROPAR DISTT PUNJAB,140301,http://www.hanifaschool.g,1975,01 Jun 2006,EKTA RACHEL PEOPLES,Female,M.SC. B.ED.,,11,18,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028","PUNJAB EDUCATION BOARD,CNT,DIOCESE OF CHANDIGARH LUDHIANA PUNJAB",
CAPT. AMOL KALIA FERTILIZER MODEL SENIOR SECONDARY SCHOOL,1630036,PUNJAB,RUPNAGAR,"SECTOR-IV, NFL TOWNSHIP, NAYA NANGAL, DISTT. ROPAR, PUNJAB-140126",140126,,1956,03 Jul 2006,AMALA DOSS,,"M.SC, B.ED",,39,30,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",era academy of cultural and educational research society durgapur n.02 dineshpur,
SHAHEED DARSHAN SINGH PHERUMAN,1630043,PUNJAB,AMRITSAR,PUBLIC SCHOOL G T ROAD RAYYA AMRITSAR DISTT PUNJAB,143112,,1984,,KAVITA CHAHAL,Male,M.A ENG ME D,,10,24,Senior Secondary Level,,"From :
                                 01/04/2022 
                                 To :
                                 31/03/2027",S D S P MEMORIAL TRUST RAYYA,
NANKANA SAHIB PUBLIC SCHOOL,1630044,PUNJAB,LUDHIANA,"GURU NANAK ENGG. COLLEGE, CIVIL PARK, LUDHIANA PUNJAB",141006,,1978,03 Jul 2000,Harmeet Kaur Waraich,Female,"MA English ,B.Ed.  & PGDTE (Post Graduate Diploma  in teaching of English from CIEFL Hyderabad)",,19,28,Senior Secondary Level,,"From :
                                 01/04/2022 
                                 To :
                                 31/03/2027",NANKANA SAHJIB EDUCATION TRUST LUDH,
BABA GANDHA SINGH PUBLIC SCHOOL,1630045,PUNJAB,BARNALA,BARNALA PUNJAB,148101,www.bgsbarnala.com,1977,01 Apr 2011,SANDEEP KUMAR LATH,,M.Sc. Chemistry B.Ed PHD Education,,25,15,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030",BABA GANDHA SINGH EDUCATION TRUST (Regd.),
BUDHA DAL PUBLIC SCHOOL,1630046,PUNJAB,PATIALA,LOWER MALL PATIALA PUNJAB,147001,,1984,01 Apr 2002,HARPREET KAUR,Female,"M.A., B.ED",,15,12,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2030",THE SIKH EDUCTIONAL SOCY BUDHA DAL PATIALA,
DAV PUBLIC SCHOOL,1630049,PUNJAB,AMRITSAR,"LAWRENCE ROAD, AMRITSAR PUNJAB",143001,,1982,01 Apr 2002,Pallavi Sethi,Female,"Ph.D.,M.A.Eng.,M.A.Psy.M.ed.,MBA,PGDBM,PGDTE,PGCTE",,4,27,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030",dav college managing committee nd,
AMARPURI PUBLIC SCHOOL,1630050,PUNJAB,AMRITSAR,SIRI GOINDWAL SAHIB DISTT TARN TARAN PUNJAB,143422,http://www.amarpuripublicschool.in,1981,,Harjinder Kaur,Male,M.A.,,5,15,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",,
ST. FARID PUBLIC SCHOOL,1630051,PUNJAB,FATEHGARH SAHIB,MANDI GOBIND GARH DISTT. FATEHGARH SAHIB PUNJAB,160047,,1976,02 Jun 2003,Virenderjit Singh,Male,"M.COM, M.PHIL, PhD, B.ed",,20,20,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",ST FARID EDN SOCIETY,
ST. PETER'S ACADEMY,1630052,PUNJAB,PATIALA,AJIT NAGAR PATIALA PUNJAB,147001,http://www.cimpor.com,1970,01 Apr 2002,Fr L MICHAEL COLLINS,Female,M.A. Bed,,7,3,Senior Secondary Level,,"From :
                                 01/04/2021 
                                 To :
                                 31/03/2026",SIMLA CHANDIGARH EDUCATION SOCY,
NATIONAL CONVENT SCHOOL,1630053,PUNJAB,MOGA,AMRITSAR ROAD MOGA PUNJAB,142001,http://www.ncsmoga.com,1980,,swaranpal Kaur,Male,M.A. B.Ed,,27,13,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",,
RATTAN DAI KHOSLA DAV MODEL  SENIOR SECONDARY SCHOOL,1630054,PUNJAB,GURDASPUR,"RAM TIRATH ROAD BATALA, DISTT GURDASPUR, PUNJAB",143505,,1980,01 Apr 2005,BINDU BHALLA,Female,"M.Com, B.Ed, PhD",,9,20,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",MANAGING COMMITTEE LOCAL TRUST,
SRI GURU TEG BAHADUR PUBLIC SCHOOL,1630055,PUNJAB,AMRITSAR,KHANKOT AMRITSAR PUNJAB,143501,www.sgtbpschool.com,1974,01 Apr 1974,PARMINDER KAUR,Male,"M.A., HIST,B.Ed",,16,22,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030","Sri Guru Teg Bahadur Public School, Khankot, Amritsar",
B B M B D A V PUBLIC SCHOOL,1630057,PUNJAB,HOSHIARPUR,TALWARA TOWNSHIP DISTT HOSHIARPUR PUNJAB,144216,,1985,,ROHIT KUMAR,Male,M.Sc. B.Ed,,03,13,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",,
